Frequency PickUp,Voltage PickUp,Pressure,Gear,RPM
291,48,31,7,223
147,26,83,27,250
123,3,42,18,0
24,42,17,8,160
266,32,58,39,167
211,32,17,24,50
295,48,8,20,189
40,12,92,18,102
274,14,10,24,43
223,1,49,27,160
276,10,100,35,43
96,10,77,24,293
207,37,43,14,158
180,19,38,17,219
223,3,16,37,124
210,9,41,15,297
78,15,59,44,168
140,12,32,30,106
218,36,15,41,127
98,11,67,20,1
232,7,46,20,209
217,48,50,32,15
170,3,77,32,67
283,24,85,15,267
194,15,74,48,251
26,22,92,20,81
97,44,34,9,9
277,48,24,46,80
261,32,6,25,9
293,10,78,16,64
240,41,11,24,239
272,40,14,37,164
9,0,4,20,3
2,26,0,17,41
194,27,58,27,67
196,33,11,22,199
195,1,47,15,92
225,9,3,47,142
125,34,27,40,47
168,5,84,45,247
281,33,28,48,297
32,10,14,43,126
25,34,31,5,108
140,42,26,5,279
84,5,0,8,102
192,21,99,33,69
145,45,57,5,280
170,3,75,28,291
291,28,9,7,61
225,33,3,30,10
62,27,64,39,132
298,43,10,11,270
58,48,64,9,119
37,10,77,3,172
169,13,29,13,152
67,16,15,41,63
30,3,78,30,116
139,50,96,15,105
166,50,69,14,17
100,17,69,21,220
257,32,55,40,105
229,9,29,16,129
168,50,99,48,294
28,5,76,48,89
175,16,60,18,112
1,27,14,36,83
198,37,39,36,136
294,41,20,18,122
119,50,100,47,287
168,30,84,8,209
112,16,25,8,113
200,27,20,26,17
204,30,85,8,39
176,23,62,24,120
31,31,17,30,281
109,37,27,0,77
109,35,53,9,105
236,6,49,30,273
189,30,69,50,75
72,22,57,35,259
110,15,61,20,85
111,9,56,46,168
156,7,92,14,65
138,49,52,0,215
141,34,81,24,142
12,26,90,9,133
201,45,25,33,39
51,18,58,49,189
29,19,67,13,173
105,37,16,33,108
253,19,73,35,262
272,29,69,24,214
284,13,98,28,16
189,20,74,8,225
147,11,63,19,235
241,11,33,5,71
20,8,58,18,51
123,7,40,38,125
212,8,39,11,187
159,32,28,34,212
196,12,90,7,74
241,22,29,28,282
263,41,35,44,297
26,40,30,17,300
286,7,37,30,270
223,44,10,24,10
211,7,80,37,288
259,27,35,11,131
95,27,2,50,196
117,45,25,33,37
13,22,8,10,152
245,16,5,45,214
148,43,84,30,88
269,0,100,48,138
126,41,50,32,225
46,36,100,5,210
244,17,3,1,101
161,12,44,35,175
63,24,88,35,294
10,5,66,23,128
237,21,75,48,217
27,47,97,24,0
89,21,47,32,198
6,22,57,35,252
141,4,80,46,62
120,33,60,9,64
293,14,33,38,152
111,44,82,35,225
65,49,31,11,162
253,8,24,43,281
109,39,60,39,275
229,5,76,8,44
54,40,21,23,198
7,39,49,11,155
156,27,100,42,221
172,44,11,15,121
265,47,60,49,242
13,23,49,22,238
7,39,73,9,18
231,42,87,18,211
236,10,90,16,281
263,25,73,32,236
31,24,26,0,239
92,15,85,19,248
18,50,36,35,177
216,23,6,5,214
73,40,92,13,55
169,13,25,1,82
64,33,85,41,254
296,21,45,42,184
247,2,58,34,285
149,17,26,2,229
198,46,5,33,250
61,12,59,15,168
287,50,78,17,71
196,42,12,5,286
22,45,61,23,190
93,22,71,43,284
226,25,88,31,183
165,20,37,33,208
219,20,58,17,122
184,38,76,30,118
195,43,40,44,260
242,50,66,29,185
83,25,95,49,185
295,20,56,14,219
7,33,21,33,169
36,40,28,8,119
122,15,11,34,235
226,17,29,9,7
29,25,36,31,69
294,2,72,6,85
288,32,25,42,271
33,36,59,43,91
5,35,73,38,4
79,6,62,15,125
166,4,7,25,43
123,4,74,44,84
2,41,51,46,185
131,33,8,24,222
135,31,41,9,237
248,13,24,3,222
130,18,5,42,150
58,11,58,19,198
183,49,29,49,185
210,41,54,22,53
145,34,31,8,59
273,27,53,12,278
256,40,15,14,191
82,22,51,26,136
60,5,89,42,23
70,33,26,18,205
270,35,67,19,4
71,22,23,10,95
175,9,20,0,286
175,21,33,0,161
269,37,28,32,175
18,18,42,29,2
104,43,4,33,38
93,44,38,14,83
184,21,93,25,196
204,38,14,10,124
189,0,98,27,14
91,25,2,4,294
42,3,0,11,18
298,43,21,2,121
63,45,65,22,22
218,21,48,15,219
293,35,60,27,91
260,3,46,24,237
163,24,84,37,298
37,20,78,27,183
222,24,11,9,268
44,23,46,24,72
153,45,61,2,105
126,43,6,38,54
181,4,29,48,29
77,38,60,19,37
148,46,48,4,2
285,23,66,49,81
197,42,68,20,97
296,44,100,43,114
28,47,79,43,77
147,2,76,21,53
81,4,27,25,104
45,24,51,32,274
145,18,40,18,14
136,34,38,35,138
264,30,69,49,73
137,35,82,21,212
142,9,28,32,119
128,22,66,7,180
291,27,70,17,119
193,9,27,3,300
166,44,55,14,196
190,16,58,16,115
66,35,87,35,142
296,49,73,36,220
70,17,19,16,232
190,48,10,46,215
181,7,92,24,232
228,25,13,48,222
10,47,14,25,134
225,24,20,13,286
35,31,67,0,35
208,36,61,43,27
188,42,40,24,244
116,49,51,26,104
118,46,83,39,299
7,23,53,23,193
62,7,93,48,137
166,18,15,17,14
39,29,21,8,199
260,46,84,5,95
78,15,69,25,234
139,24,73,11,56
293,49,77,11,88
176,1,16,42,62
230,17,46,4,8
132,33,4,8,48
218,47,87,37,96
130,3,95,0,300
5,50,40,8,214
121,1,82,43,65
7,47,94,33,143
1,35,62,32,136
30,31,83,47,182
98,2,74,14,279
218,4,36,38,141
197,25,49,30,152
280,9,17,10,20
247,40,68,20,124
251,7,34,34,92
219,35,34,10,27
61,27,88,5,250
120,30,24,32,43
231,19,22,34,41
79,40,6,29,273
107,49,32,2,236
31,1,21,23,50
119,28,55,29,260
164,1,0,39,175
246,38,38,4,0
254,36,0,4,180
286,18,4,33,0
21,17,3,13,282
223,31,22,32,13
55,43,29,11,115
104,41,27,4,155
262,30,13,47,274
204,16,17,44,188
258,30,99,29,188
97,46,17,50,36
189,32,44,5,150
60,23,51,49,43
210,19,78,32,197
272,18,54,6,116
268,10,38,22,294
170,49,74,3,228
278,44,85,40,133
134,14,4,38,144
200,32,33,27,94
178,31,50,30,142
180,17,74,42,77
114,45,33,35,3
39,8,79,23,57
209,9,42,5,148
85,44,15,21,274
147,48,77,11,102
221,16,47,1,110
47,49,24,10,54
149,11,52,7,5
211,15,29,27,296
3,9,79,30,3
290,48,88,15,76
124,15,23,26,192
154,15,87,4,219
40,35,8,3,87
78,19,94,15,133
112,5,44,31,141
155,36,61,9,56
156,46,83,23,14
196,19,50,0,126
296,8,30,36,156
168,22,46,20,183
58,45,61,32,134
199,29,66,3,69
13,38,100,43,17
107,34,10,36,238
43,39,41,23,278
256,15,20,42,290
166,41,0,23,102
186,25,88,5,189
234,29,36,47,183
28,7,88,47,270
122,32,83,12,233
116,7,77,32,207
181,22,78,50,244
121,24,81,34,158
84,34,42,34,56
240,27,44,37,183
13,12,95,10,247
286,34,55,1,241
61,5,14,48,40
130,9,93,26,95
45,9,14,32,138
213,17,93,21,73
144,29,31,16,70
0,2,18,9,14
162,36,18,6,112
81,20,32,48,113
32,13,90,44,102
140,43,45,8,126
138,32,33,34,103
153,3,25,0,26
6,11,35,0,241
271,39,42,0,136
223,28,27,49,183
196,39,86,37,95
233,13,89,20,124
106,0,28,41,232
90,48,33,13,219
280,2,15,17,257
295,40,31,1,17
186,10,60,47,164
77,40,44,50,155
261,42,76,24,144
249,40,30,0,44
147,48,52,49,179
254,25,91,0,129
278,19,93,40,42
163,23,54,37,242
11,18,0,34,164
11,50,87,0,91
44,29,56,25,112
170,37,25,39,46
29,9,25,23,244
74,14,19,4,35
271,39,88,40,26
88,9,23,5,246
264,8,94,1,254
141,11,16,42,222
6,40,16,18,113
282,1,97,46,39
167,31,42,37,73
6,38,69,42,254
18,0,85,4,110
184,42,8,6,273
164,28,45,11,30
236,13,34,50,124
27,32,23,38,38
83,1,84,4,239
227,44,64,45,154
297,32,17,31,204
201,7,76,20,183
220,50,96,44,196
147,33,12,31,294
27,24,32,4,59
240,23,97,19,241
114,32,6,17,41
187,33,18,3,180
170,15,12,14,182
62,32,64,21,213
1,14,28,12,75
106,28,53,3,144
152,9,0,41,160
95,26,54,45,12
240,33,48,2,91
171,6,40,47,15
115,31,100,30,96
168,44,14,44,146
204,1,38,46,274
252,19,40,31,175
279,39,97,47,180
186,36,73,23,192
299,2,13,40,240
221,49,7,21,59
163,24,44,36,237
24,16,6,47,228
83,29,60,45,35
168,43,20,33,227
289,33,35,47,217
36,27,51,40,262
296,26,25,29,27
260,26,61,8,232
159,21,38,40,271
122,11,63,1,193
238,32,76,32,128
268,40,61,3,219
231,4,50,42,105
291,33,86,2,33
139,25,98,36,235
277,0,53,48,202
119,46,65,18,122
30,46,54,36,125
235,23,99,40,282
134,42,39,23,297
251,38,34,5,135
247,16,37,36,100
175,13,39,2,247
66,0,58,45,40
80,2,83,15,259
277,32,37,18,280
6,15,55,22,83
78,2,54,20,106
101,37,78,44,26
200,47,81,18,97
108,23,22,35,26
128,49,7,42,180
247,16,59,49,291
78,34,17,19,57
210,40,4,36,30
89,26,43,13,93
141,28,53,10,51
74,17,40,0,186
221,4,97,40,60
164,26,78,45,193
126,0,90,10,19
276,0,42,43,74
183,17,22,49,89
74,9,93,26,169
44,46,72,43,203
127,7,65,25,127
169,29,27,7,289
89,40,78,5,122
81,49,61,14,24
251,42,27,36,177
201,26,59,37,170
41,4,46,50,298
140,21,28,37,212
55,46,13,4,33
76,49,99,30,15
241,32,2,12,153
226,3,2,12,66
141,28,37,21,132
88,27,82,9,245
93,4,88,49,183
39,4,67,7,50
111,24,70,15,264
92,28,31,49,107
228,37,31,20,179
37,19,26,33,267
170,50,87,8,129
58,31,97,46,182
195,39,34,46,71
114,3,60,13,181
237,39,83,10,292
202,26,22,26,36
292,4,51,37,27
162,46,44,21,197
98,30,36,20,240
67,30,65,36,81
256,22,83,17,124
70,34,42,29,195
247,27,62,41,123
6,18,78,14,106
256,20,36,50,127
121,12,90,48,192
41,35,45,5,146
88,38,43,36,40
227,26,28,35,266
82,8,52,8,95
57,13,80,28,257
279,32,52,38,251
285,20,25,46,50
144,34,45,10,54
283,33,60,3,22
289,23,43,34,8
290,29,78,28,209
73,50,92,19,17
121,13,7,37,19
74,22,62,25,19
148,36,34,48,70
135,26,63,18,1
183,33,9,49,197
196,50,11,20,71
145,19,10,13,218
137,0,22,29,6
181,1,48,37,197
132,39,97,32,238
274,5,65,36,104
55,23,43,27,156
225,42,55,37,263
222,36,44,0,172
218,37,2,48,56
138,49,52,32,57
152,35,64,21,203
210,19,20,48,70
171,8,14,31,117
94,17,85,41,154
183,3,73,44,229
213,12,92,28,68
34,19,31,14,296
23,4,77,11,91
233,40,7,36,22
246,26,88,12,116
295,33,20,44,73
293,31,73,9,108
200,21,98,9,269
69,25,70,48,269
112,14,46,14,236
180,45,53,43,182
190,17,53,33,71
37,11,5,7,112
263,38,12,32,244
48,24,10,33,22
118,12,72,20,56
256,40,94,39,10
31,30,90,31,202
84,47,49,24,111
44,10,81,43,262
157,21,66,20,223
206,40,2,14,1
261,24,64,28,71
164,13,81,5,71
293,50,55,33,273
90,6,49,26,117
52,5,22,16,22
264,13,51,27,112
56,28,18,30,169
279,27,75,10,290
21,40,97,25,33
107,34,92,37,200
276,41,12,44,276
263,43,19,11,42
136,6,29,12,9
83,7,10,50,53
182,15,24,37,93
203,23,39,50,16
87,38,39,5,278
6,23,5,16,227
110,39,46,49,32
130,14,93,26,291
233,28,11,3,293
25,8,13,49,284
158,30,75,4,237
82,29,83,2,294
91,48,63,46,239
156,0,17,32,68
44,31,95,36,244
232,50,70,17,13
133,44,57,35,32
10,9,16,50,197
24,21,57,5,226
241,5,25,17,191
218,28,18,33,214
269,28,85,22,190
56,34,54,14,151
136,24,36,29,101
61,12,48,44,250
156,14,26,2,234
23,14,91,49,33
296,45,5,18,28
140,26,32,26,250
226,0,6,11,240
251,30,99,17,0
104,7,43,21,152
23,50,17,37,161
174,4,78,2,209
289,5,99,3,44
200,8,30,50,230
142,27,4,18,104
25,25,70,21,186
128,1,18,14,296
180,48,35,5,83
8,13,66,49,96
209,45,56,41,72
159,43,70,17,137
163,45,60,6,104
163,6,35,9,202
186,35,24,42,218
41,47,79,2,35
122,17,37,2,260
31,10,87,43,71
18,46,74,0,148
180,11,100,5,56
267,26,98,38,0
205,17,40,0,30
250,3,68,3,17
221,40,26,15,250
118,7,67,2,112
109,19,28,38,64
133,49,36,10,48
261,33,72,20,58
60,15,74,47,154
176,9,15,22,124
153,27,92,16,295
90,43,22,44,108
39,41,59,29,97
37,13,58,46,187
181,21,21,50,229
33,26,81,27,63
45,12,0,12,244
291,0,7,12,150
186,47,89,34,202
87,30,17,24,10
169,20,57,26,181
206,1,66,4,64
168,4,0,47,151
60,12,80,18,258
102,19,59,46,120
225,3,93,0,67
192,50,45,25,101
187,10,84,19,138
284,49,37,35,254
141,31,13,33,67
119,36,95,9,202
258,14,13,5,232
265,2,39,12,215
103,40,29,2,246
234,23,46,34,121
185,10,4,47,196
181,43,28,16,15
208,49,71,12,49
291,44,55,2,300
145,47,21,11,60
292,37,27,23,265
61,34,30,23,282
183,0,21,7,198
20,37,59,13,279
276,14,61,15,81
211,7,49,27,171
269,28,4,33,137
12,26,16,34,71
256,43,86,48,175
163,11,15,12,130
247,42,82,41,177
201,17,26,27,1
173,33,100,2,137
199,4,18,17,162
179,25,26,18,126
173,44,97,29,31
64,50,5,7,183
295,35,38,23,282
214,2,60,1,64
132,17,44,15,227
249,13,40,50,281
0,2,68,16,159
164,1,37,21,235
154,15,39,9,248
195,47,19,38,228
161,3,72,34,118
193,35,60,28,291
66,0,77,17,103
297,3,72,12,53
222,8,61,14,62
18,8,67,43,51
87,5,78,50,74
250,16,13,24,107
29,4,73,40,290
37,5,29,2,97
151,4,55,7,232
251,5,14,29,102
298,24,68,45,238
126,37,90,3,206
88,24,71,10,154
58,12,63,28,92
94,46,93,29,34
158,26,78,23,30
17,1,88,27,59
52,11,58,31,175
138,16,39,30,6
225,4,77,46,283
201,23,10,43,128
180,15,49,41,283
272,23,43,29,136
112,32,100,3,72
73,32,74,10,190
140,1,60,39,108
138,1,8,46,23
20,2,10,1,117
111,15,48,39,258
99,20,57,26,166
210,0,9,22,145
215,21,78,18,161
161,47,59,24,142
125,41,50,5,159
244,19,84,20,253
191,9,98,48,20
89,29,50,35,2
145,31,18,9,53
43,0,38,13,21
143,10,72,7,20
218,7,54,13,168
254,4,13,48,18
266,2,60,34,218
134,0,11,24,129
129,38,52,3,276
31,44,56,8,190
126,15,25,24,47
92,47,21,34,7
234,2,68,30,147
211,13,91,25,206
87,31,45,28,172
52,26,36,28,44
212,47,81,47,172
8,23,63,46,224
207,7,89,32,50
286,13,6,37,186
175,27,89,20,108
50,6,70,2,89
216,7,12,31,91
43,47,41,44,187
62,33,64,39,142
298,35,73,21,250
246,17,83,43,273
256,0,43,49,219
88,14,29,32,95
45,20,70,27,62
18,1,61,43,233
70,44,43,27,132
283,47,65,22,52
255,39,52,1,16
57,2,81,38,182
287,14,68,2,264
248,28,90,28,223
41,47,21,30,41
107,21,73,7,110
24,19,7,21,226
19,17,70,36,86
268,21,6,9,222
161,45,62,49,233
293,30,16,46,179
194,43,33,36,296
59,20,74,37,124
66,34,7,11,20
209,35,80,10,117
111,10,16,7,20
298,16,88,38,86
14,32,71,23,100
174,36,64,22,174
29,47,9,3,257
6,21,68,13,207
254,17,39,22,120
204,10,53,3,247
164,13,60,23,180
152,27,34,9,89
109,8,37,22,285
297,21,67,25,158
208,31,86,11,192
158,40,88,17,35
30,11,37,23,141
232,39,11,44,84
167,4,12,7,52
182,27,44,13,195
224,50,15,1,231
5,5,75,24,300
1,16,71,42,39
124,20,84,21,26
256,50,82,7,77
212,18,95,46,49
70,5,98,25,223
222,10,4,44,183
251,15,19,20,150
196,18,73,26,209
19,40,70,27,296
68,1,70,42,296
270,38,58,27,128
201,26,6,29,54
75,49,54,42,173
24,9,52,25,287
201,24,28,45,80
78,37,55,9,208
164,37,3,8,208
127,33,42,17,104
99,27,52,25,23
124,29,9,14,196
60,10,30,39,126
103,21,8,23,293
246,25,80,4,122
196,49,6,29,264
270,32,65,25,155
299,6,89,38,103
155,6,12,12,210
170,21,19,21,235
110,14,14,50,165
267,49,22,21,261
117,5,75,12,271
118,38,72,18,118
103,49,25,20,157
70,36,55,17,3
16,9,87,38,34
291,27,26,32,200
188,17,65,3,135
257,39,17,48,217
273,7,15,9,228
264,33,62,6,210
129,13,28,12,196
89,47,97,30,158
274,1,87,29,193
234,36,2,11,230
147,44,23,0,59
165,14,47,26,153
159,24,23,35,149
290,28,59,14,202
79,18,61,49,220
126,44,72,41,260
157,25,68,44,71
120,48,57,8,214
124,6,77,8,114
37,40,44,19,45
50,36,50,48,177
232,1,44,10,287
181,29,40,17,36
245,28,69,30,13
274,25,56,4,122
71,48,22,5,20
55,21,92,0,122
83,7,18,36,115
178,33,94,31,159
98,48,6,48,29
225,33,78,49,222
293,38,58,19,278
153,7,43,9,0
158,40,66,37,162
166,27,48,0,195
2,27,65,19,116
253,44,82,2,159
174,30,2,23,226
240,43,46,30,16
133,23,9,40,181
42,38,15,13,241
282,13,68,17,279
219,16,88,9,48
114,21,66,45,54
136,23,70,26,115
183,28,88,16,268
57,18,29,27,87
259,35,89,34,257
243,32,95,0,37
184,11,99,43,126
103,37,1,11,251
255,24,25,41,38
143,43,40,5,46
58,7,33,13,160
218,28,96,22,68
113,29,75,49,271
270,38,36,45,72
212,13,60,42,25
114,17,55,27,109
268,7,94,4,176
44,7,66,36,116
197,9,46,1,249
141,46,72,18,189
20,48,57,21,142
172,13,29,4,200
287,2,32,21,265
37,19,12,8,65
272,17,78,21,94
139,43,61,2,137
152,1,52,43,279
85,6,41,8,251
61,34,80,36,88
139,22,53,48,158
33,23,48,6,123
274,29,81,23,220
24,3,71,5,229
45,22,67,29,288
156,16,47,30,102
156,43,12,45,294
242,8,12,34,114
208,26,34,50,218
65,50,83,37,210
135,32,81,49,140
149,19,15,27,216
263,44,38,41,275
247,46,52,15,78
102,1,40,28,45
144,9,15,33,262
42,25,75,22,280
239,39,25,22,52
37,40,100,11,223
105,45,33,47,13
12,5,35,1,178
162,3,79,31,148
93,19,74,39,191
96,46,17,34,34
171,19,94,30,64
26,45,9,42,48
281,47,73,4,135
187,49,79,21,145
31,19,22,24,228
65,8,29,17,40
256,50,78,24,260
280,37,69,17,250
199,5,3,8,203
197,12,93,17,191
102,2,64,14,115
231,1,0,50,208
163,9,19,28,101
213,3,50,9,5
237,41,44,31,257
161,12,92,48,276
270,5,74,17,293
162,47,85,20,261
0,16,80,25,157
87,22,40,48,37
140,41,96,35,178
227,38,90,27,136
289,39,53,18,225
168,27,61,35,107
153,33,65,38,106
153,50,85,15,153
283,10,88,11,195
103,1,88,47,27
276,23,85,21,101
119,1,90,44,90
175,32,15,9,299
67,3,35,45,199
286,6,99,19,94
196,14,3,14,276
117,1,63,17,88
258,19,61,7,45
240,29,28,13,181
245,11,89,8,77
24,3,82,10,38
72,30,32,25,298
263,9,51,5,255
65,25,44,27,299
85,50,39,31,272
54,34,96,40,230
112,18,92,29,61
274,30,71,43,182
225,41,26,24,94
277,43,91,29,65
234,25,23,48,217
170,9,68,30,155
97,19,74,47,53
10,1,58,6,294
191,7,2,30,281
54,35,29,37,38
24,46,92,7,79
78,29,88,7,162
81,42,20,17,4
180,29,27,33,164
187,44,79,26,23
86,1,81,20,85
221,33,95,17,298
106,4,99,12,98
51,13,0,4,66
249,33,58,2,265
276,10,71,50,278
60,40,68,16,2
239,21,76,32,76
296,19,55,18,223
275,49,48,6,4
125,3,38,23,260
28,8,65,29,248
20,43,99,11,293
270,1,95,27,232
6,32,33,21,201
130,0,88,12,203
297,38,93,36,39
206,42,52,1,91
223,2,13,48,58
7,46,71,34,177
37,43,55,11,300
294,36,41,1,175
130,7,61,1,189
134,1,43,20,257
286,17,73,2,71
165,16,89,20,182
144,34,31,15,245
285,21,29,28,122
178,17,17,26,22
187,36,78,35,259
44,39,57,4,181
159,6,10,28,1
89,48,53,3,227
93,20,35,2,291
81,50,96,23,66
279,0,71,31,211
171,41,38,38,193
176,28,66,1,243
27,36,66,30,129
80,38,88,33,11
285,1,61,41,206
182,41,31,4,34
88,20,20,24,47
196,16,50,11,51
109,31,66,19,140
187,3,6,22,172
239,29,65,48,166
285,36,46,24,269
21,32,79,14,74
157,29,92,19,24
30,9,10,14,88
236,3,91,11,264
15,35,52,21,218
214,16,13,3,179
210,2,11,19,235
73,50,3,39,187
206,3,26,4,73
102,29,52,9,117
300,45,2,35,184
179,45,84,10,287
287,16,99,20,278
124,48,69,36,279
8,47,10,22,253
33,23,73,13,108
251,41,14,13,53
192,28,31,18,118
299,2,26,37,17
187,6,0,7,76
66,10,16,14,232
43,36,69,35,204
141,1,22,42,197
26,11,21,42,209
90,30,62,22,246
97,36,22,15,271
215,47,82,34,220
212,2,16,23,110
299,40,13,7,103
3,5,23,2,241
163,43,9,27,103
122,46,61,15,69
